passenger_id,age_group,gender,nationality,residence_country,residence_region,income_band,spending_power_proxy,household_type,occupation_type,language,life_stage,segment_label,preferred_route_cluster,preferred_travel_context,preferred_product_category,repeat_propensity,price_sensitivity_level,source_assumption_id
psg_0001,25-34,Female,United Kingdom,Netherlands,Western Europe,high,high,single,professional,English,early_career,Business / Commuter Travelers,channel_crossing_short,business,flex_ticket,0.466,low,src_tourism_stats_01
psg_0002,55-64,Female,Germany,Netherlands,South East England,high,high,retired_couple,retired,French,retired,Senior Mini-cruise Travelers,north_sea_overnight,mini_cruise_leisure,mini_cruise,0.324,low,src_tourism_stats_01
psg_0003,25-34,Prefer not to say,France,United Kingdom,South East England,high,mid,couple,self_employed,German,couple_stage,Car-based Cross-border Travelers,channel_crossing_short,transport_alternative,vehicle_crossing,0.424,medium,src_tourism_stats_01
psg_0004,35-44,Male,Germany,Netherlands,French North,upper_mid,mid,couple,professional,English,couple_stage,Pet-Friendly Travelers,channel_crossing_short,family_holiday,pet_travel,0.315,medium,src_tourism_stats_01
psg_0005,18-24,Female,United Kingdom,Germany,London and South East,mid,moderate,single,early_career,Dutch,early_career,Young Leisure Travelers,channel_crossing_short,weekend_getaway,mini_cruise,0.368,high,src_tourism_stats_01
psg_0006,25-34,Male,United Kingdom,United Kingdom,German North,high,high,couple,manager,Dutch,couple_stage,Business / Commuter Travelers,channel_crossing_short,business,flex_ticket,0.533,low,src_tourism_stats_01
psg_0007,25-34,Female,United Kingdom,United Kingdom,Nordics,high,upper_mid,family_with_children,self_employed,English,family_builder,Family Holiday Travelers,channel_crossing_short,family_holiday,family_package,0.5,medium,src_tourism_stats_01
psg_0008,55-64,Female,Netherlands,United Kingdom,Western Europe,mid,high,couple,retired,Danish,couple_stage,Senior Mini-cruise Travelers,north_sea_overnight,mini_cruise_leisure,mini_cruise,0.301,low,src_tourism_stats_01
psg_0009,18-24,Female,Germany,France,Western Europe,lower_mid,moderate,single,other,English,early_career,Young Leisure Travelers,channel_crossing_short,weekend_getaway,mini_cruise,0.407,high,src_tourism_stats_01
psg_0010,18-24,Male,Netherlands,France,Regional UK,lower_mid,lower_mid,single,service_worker,English,early_career,Price-sensitive Short-break Travelers,channel_crossing_short,shopping_trip,seat,0.334,high,src_tourism_stats_01
psg_0011,25-34,Male,United Kingdom,Ireland,German North,low,lower_mid,couple,early_career,English,couple_stage,Price-sensitive Short-break Travelers,channel_crossing_short,shopping_trip,seat,0.312,high,src_tourism_stats_01
psg_0012,65-74,Male,United Kingdom,United Kingdom,South East England,mid,high,retired_couple,other,English,retired,Senior Mini-cruise Travelers,north_sea_overnight,mini_cruise_leisure,mini_cruise,0.247,low,src_tourism_stats_01
psg_0013,45-54,Female,France,United Kingdom,Irish East Coast,mid,lower_mid,single,service_worker,French,working_adult,Price-sensitive Short-break Travelers,channel_crossing_short,shopping_trip,seat,0.252,high,src_tourism_stats_01
psg_0014,25-34,Female,France,Netherlands,Regional UK,lower_mid,lower_mid,family_with_children,early_career,English,family_builder,Price-sensitive Short-break Travelers,channel_crossing_short,shopping_trip,seat,0.282,high,src_tourism_stats_01
psg_0015,18-24,Female,Germany,United Kingdom,London and South East,lower_mid,moderate,couple,early_career,Dutch,couple_stage,Young Leisure Travelers,channel_crossing_short,weekend_getaway,mini_cruise,0.393,high,src_tourism_stats_01
psg_0016,18-24,Male,United Kingdom,United Kingdom,Nordics,mid,moderate,single,creative,German,early_career,Young Leisure Travelers,channel_crossing_short,weekend_getaway,mini_cruise,0.313,high,src_tourism_stats_01
psg_0017,25-34,Male,Netherlands,France,Western Europe,high,moderate,single,early_career,English,early_career,Young Leisure Travelers,channel_crossing_short,weekend_getaway,mini_cruise,0.393,high,src_tourism_stats_01
psg_0018,25-34,Male,France,United Kingdom,Northern England,high,upper_mid,family_with_children,other,French,family_builder,Family Holiday Travelers,channel_crossing_short,family_holiday,family_package,0.396,medium,src_tourism_stats_01
psg_0019,45-54,Prefer not to say,Sweden,Germany,Western Europe,upper_mid,mid,family_with_children,self_employed,English,family_builder,Pet-Friendly Travelers,channel_crossing_short,family_holiday,pet_travel,0.325,medium,src_tourism_stats_01
psg_0020,35-44,Male,France,France,German North,high,mid,couple,manager,English,couple_stage,Pet-Friendly Travelers,channel_crossing_short,family_holiday,pet_travel,0.316,medium,src_tourism_stats_01
psg_0021,35-44,Male,Netherlands,United Kingdom,South East England,upper_mid,mid,single,professional,Swedish,working_adult,Pet-Friendly Travelers,channel_crossing_short,family_holiday,pet_travel,0.29,medium,src_tourism_stats_01
psg_0022,35-44,Male,United Kingdom,United Kingdom,Nordics,mid,upper_mid,family_with_children,self_employed,English,family_builder,Family Holiday Travelers,channel_crossing_short,family_holiday,family_package,0.46,medium,src_tourism_stats_01
psg_0023,75+,Female,Germany,United Kingdom,Western Europe,high,high,couple,retired,German,retired,Senior Mini-cruise Travelers,north_sea_overnight,mini_cruise_leisure,mini_cruise,0.249,low,src_tourism_stats_01
psg_0024,75+,Prefer not to say,United Kingdom,United Kingdom,South East England,mid,high,retired_couple,other,English,retired,Senior Mini-cruise Travelers,north_sea_overnight,mini_cruise_leisure,mini_cruise,0.259,low,src_tourism_stats_01
psg_0025,35-44,Male,Ireland,Netherlands,Regional UK,mid,lower_mid,single,early_career,Other,working_adult,Price-sensitive Short-break Travelers,channel_crossing_short,shopping_trip,seat,0.236,high,src_tourism_stats_01
psg_0026,18-24,Male,United Kingdom,Germany,Western Europe,lower_mid,moderate,couple,early_career,English,couple_stage,Young Leisure Travelers,channel_crossing_short,weekend_getaway,mini_cruise,0.399,high,src_tourism_stats_01
psg_0027,18-24,Male,United Kingdom,United Kingdom,Irish East Coast,lower_mid,lower_mid,single,early_career,French,early_career,Price-sensitive Short-break Travelers,channel_crossing_short,shopping_trip,seat,0.271,high,src_tourism_stats_01
psg_0028,18-24,Non-binary,Sweden,Germany,Nordics,mid,moderate,single,student,English,early_career,Young Leisure Travelers,channel_crossing_short,weekend_getaway,mini_cruise,0.398,high,src_tourism_stats_01
psg_0029,35-44,Non-binary,United Kingdom,United Kingdom,Regional UK,mid,lower_mid,shared_household,service_worker,German,working_adult,Price-sensitive Short-break Travelers,channel_crossing_short,shopping_trip,seat,0.239,high,src_tourism_stats_01
psg_0030,45-54,Prefer not to say,Germany,Germany,Western Europe,high,mid,family_with_children,other,Dutch,family_builder,Pet-Friendly Travelers,channel_crossing_short,family_holiday,pet_travel,0.384,medium,src_tourism_stats_01
psg_0031,25-34,Male,United Kingdom,Germany,German North,low,lower_mid,shared_household,service_worker,English,early_career,Price-sensitive Short-break Travelers,channel_crossing_short,shopping_trip,seat,0.315,high,src_tourism_stats_01
psg_0032,25-34,Female,United Kingdom,Sweden,Nordics,mid,upper_mid,family_with_children,professional,Danish,family_builder,Family Holiday Travelers,channel_crossing_short,family_holiday,family_package,0.454,medium,src_tourism_stats_01
psg_0033,25-34,Prefer not to say,United Kingdom,Sweden,Western Europe,mid,mid,couple,manager,English,couple_stage,Pet-Friendly Travelers,channel_crossing_short,family_holiday,pet_travel,0.353,medium,src_tourism_stats_01
psg_0034,65-74,Male,United Kingdom,Germany,South East England,mid,high,couple,other,German,retired,Senior Mini-cruise Travelers,north_sea_overnight,mini_cruise_leisure,mini_cruise,0.32,low,src_tourism_stats_01
psg_0035,25-34,Male,France,France,Irish East Coast,high,mid,family_with_children,manager,French,family_builder,Car-based Cross-border Travelers,channel_crossing_short,transport_alternative,vehicle_crossing,0.408,medium,src_tourism_stats_01
psg_0036,25-34,Male,Denmark,Germany,Nordics,upper_mid,upper_mid,family_with_children,manager,English,family_builder,Family Holiday Travelers,channel_crossing_short,family_holiday,family_package,0.424,medium,src_tourism_stats_01
psg_0037,45-54,Male,France,France,South East England,upper_mid,mid,shared_household,self_employed,English,working_adult,Car-based Cross-border Travelers,channel_crossing_short,transport_alternative,vehicle_crossing,0.37,medium,src_tourism_stats_01
psg_0038,65-74,Female,France,Germany,Western Europe,upper_mid,high,couple,retired,English,retired,Senior Mini-cruise Travelers,north_sea_overnight,mini_cruise_leisure,mini_cruise,0.297,low,src_tourism_stats_01
psg_0039,18-24,Male,Netherlands,United Kingdom,Western Europe,lower_mid,lower_mid,single,early_career,English,early_career,Price-sensitive Short-break Travelers,channel_crossing_short,shopping_trip,seat,0.31,high,src_tourism_stats_01
