route_id,route_name,origin_port,destination_port,origin_country,destination_country,country_pair,route_cluster,route_type,duration_band,overnight_flag,vehicle_friendly_flag,mini_cruise_relevant_flag,primary_trip_motivation,seasonality_pattern,source_assumption_id
rte_calais_dover,Calais-Dover,Calais,Dover,France,United Kingdom,France-United Kingdom,channel_crossing_short,short_ferry,under_2h,False,True,False,cross_channel_transport,year_round,src_official_routes_01
rte_dunkirk_dover,Dunkirk-Dover,Dunkirk,Dover,France,United Kingdom,France-United Kingdom,channel_crossing_short,short_ferry,under_2h,False,True,False,cross_channel_transport,year_round,src_official_routes_01
rte_dieppe_newhaven,Dieppe-Newhaven,Dieppe,Newhaven,France,United Kingdom,France-United Kingdom,channel_crossing_short,short_ferry,2_to_5h,False,True,False,short_break_transport,shoulder_balanced,src_official_routes_01
rte_amsterdam_newcastle,Amsterdam-Newcastle,Amsterdam,Newcastle,Netherlands,United Kingdom,Netherlands-United Kingdom,north_sea_overnight,overnight_ferry,overnight,True,True,True,leisure_break,weekend_peak,src_official_routes_01
rte_rosslare_dunkirk,Rosslare-Dunkirk,Rosslare,Dunkirk,Ireland,France,Ireland-France,irish_celtic,overnight_ferry,overnight,True,True,False,vehicle_transport,holiday_peak,src_official_routes_01
rte_jersey_stmalo,Jersey-St Malo,St Helier,St Malo,Jersey,France,Jersey-France,celtic_short_break,short_ferry,2_to_5h,False,False,True,leisure_break,summer_peak,src_official_routes_01
rte_jersey_portsmouth,Jersey-Portsmouth,St Helier,Portsmouth,Jersey,United Kingdom,Jersey-United Kingdom,celtic_short_break,short_ferry,2_to_5h,False,False,False,short_break_transport,summer_peak,src_official_routes_01
rte_jersey_poole,Jersey-Poole,St Helier,Poole,Jersey,United Kingdom,Jersey-United Kingdom,celtic_short_break,short_ferry,2_to_5h,False,False,False,short_break_transport,summer_peak,src_official_routes_01
rte_kiel_klaipeda,Kiel-Klaipeda,Kiel,Klaipeda,Germany,Lithuania,Germany-Lithuania,baltic_overnight,overnight_ferry,overnight,True,True,False,vehicle_transport,shoulder_balanced,src_official_routes_01
rte_karlshamn_klaipeda,Karlshamn-Klaipeda,Karlshamn,Klaipeda,Sweden,Lithuania,Sweden-Lithuania,baltic_overnight,overnight_ferry,overnight,True,True,False,vehicle_transport,shoulder_balanced,src_official_routes_01
rte_kapellskar_paldiski,Kapellskar-Paldiski,Kapellskar,Paldiski,Sweden,Estonia,Sweden-Estonia,baltic_overnight,overnight_ferry,overnight,True,True,False,vehicle_transport,year_round,src_official_routes_01
rte_trelleborg_klaipeda,Trelleborg-Klaipeda,Trelleborg,Klaipeda,Sweden,Lithuania,Sweden-Lithuania,baltic_overnight,overnight_ferry,overnight,True,True,True,leisure_break,summer_peak,src_official_routes_01
rte_spain_morocco,Spain-Morocco,Algeciras,Tangier Med,Spain,Morocco,Spain-Morocco,iberian_crossing,short_ferry,2_to_5h,False,True,False,cross_border_transport,holiday_peak,src_official_routes_01
rte_morocco_spain,Morocco-Spain,Tangier Med,Algeciras,Morocco,Spain,Morocco-Spain,iberian_crossing,short_ferry,2_to_5h,False,True,False,cross_border_transport,holiday_peak,src_official_routes_01
