trip_id,passenger_id,route_id,date_id,travel_context_id,product_id,booking_channel_id,source_assumption_id,trip_sequence,party_size,adult_count,child_count,senior_count,vehicle_included,vehicle_type,booking_lead_days,cabin_booked_flag,ticket_price,ancillary_spend,total_order_value,discount_used,repeat_trip_flag,synthetic_confidence_score
trp_00001,psg_0001,rte_karlshamn_klaipeda,20260725,ctx_transport,prd_premium_lounge_pass,chn_website,src_behavior_model_01,1,2,2,0,0,False,foot,1,True,583.04,74.53,657.57,True,False,0.797
trp_00002,psg_0001,rte_calais_dover,20251119,ctx_business,prd_basic_seat,chn_returning_portal,src_behavior_model_01,2,2,2,0,0,True,car,9,False,143.99,50.29,194.28,True,True,0.913
trp_00003,psg_0002,rte_dieppe_newhaven,20241004,ctx_visiting_friends,prd_premium_lounge_pass,chn_call_center,src_behavior_model_01,1,2,0,0,2,False,foot,118,True,188.9,98.69,287.59,True,False,0.872
trp_00004,psg_0003,rte_dunkirk_dover,20260704,ctx_visiting_friends,prd_flexible_combi_ticket,chn_website,src_behavior_model_01,1,1,1,0,0,True,car,26,False,101.57,50.59,152.16,True,False,0.864
trp_00005,psg_0004,rte_amsterdam_newcastle,20260819,ctx_transport,prd_mini_cruise_package,chn_website,src_behavior_model_01,1,4,3,1,0,False,foot,55,True,1012.35,90.87,1103.22,True,False,0.793
trp_00006,psg_0005,rte_amsterdam_newcastle,20250802,ctx_shopping,prd_mini_cruise_package,chn_mobile_app,src_behavior_model_01,1,2,2,0,0,False,foot,17,True,446.87,69.6,516.47,True,False,0.831
trp_00007,psg_0006,rte_karlshamn_klaipeda,20240311,ctx_business,prd_mini_cruise_package,chn_returning_portal,src_behavior_model_01,1,2,2,0,0,False,foot,8,True,571.58,87.36,658.94,True,False,0.836
trp_00008,psg_0007,rte_dunkirk_dover,20251101,ctx_shopping,prd_standard_inside_cabin,chn_website,src_behavior_model_01,1,3,2,1,0,True,car,34,True,258.0,74.56,332.56,True,False,0.952
trp_00009,psg_0007,rte_rosslare_dunkirk,20250204,ctx_family_holiday,prd_standard_inside_cabin,chn_email_campaign,src_behavior_model_01,2,3,1,2,0,True,car,88,True,449.44,80.2,529.64,True,True,0.893
trp_00010,psg_0007,rte_dunkirk_dover,20250730,ctx_family_holiday,prd_vehicle_crossing_basic,chn_mobile_app,src_behavior_model_01,3,5,1,4,0,True,car,83,True,318.11,80.41,398.52,True,True,0.949
trp_00011,psg_0007,rte_calais_dover,20261105,ctx_transport,prd_standard_inside_cabin,chn_mobile_app,src_behavior_model_01,4,3,1,2,0,False,foot,68,True,223.34,77.92,301.26,True,True,0.93
trp_00012,psg_0008,rte_dieppe_newhaven,20240416,ctx_mini_cruise,prd_mini_cruise_package,chn_website,src_behavior_model_01,1,2,2,0,0,False,foot,76,True,203.35,111.24,314.59,True,False,0.861
trp_00013,psg_0009,rte_jersey_portsmouth,20251111,ctx_shopping,prd_flexible_combi_ticket,chn_website,src_behavior_model_01,1,2,2,0,0,False,foot,8,False,172.28,52.61,224.89,True,False,0.732
trp_00014,psg_0010,rte_jersey_portsmouth,20251230,ctx_weekend_getaway,prd_basic_seat,chn_email_campaign,src_behavior_model_01,1,1,1,0,0,False,foot,21,False,67.87,27.72,95.59,True,False,0.83
trp_00015,psg_0011,rte_dieppe_newhaven,20260713,ctx_shopping,prd_vehicle_crossing_basic,chn_search_engine,src_behavior_model_01,1,1,1,0,0,False,foot,13,True,59.52,35.07,94.59,True,False,0.88
trp_00016,psg_0012,rte_dieppe_newhaven,20260520,ctx_mini_cruise,prd_mini_cruise_package,chn_travel_agency,src_behavior_model_01,1,2,0,0,2,False,foot,101,True,217.08,101.17,318.25,True,False,0.899
trp_00017,psg_0013,rte_calais_dover,20250401,ctx_shopping,prd_flexible_combi_ticket,chn_search_engine,src_behavior_model_01,1,1,1,0,0,True,car,28,False,83.39,26.33,109.72,True,False,0.892
trp_00018,psg_0013,rte_calais_dover,20251127,ctx_weekend_getaway,prd_vehicle_crossing_basic,chn_search_engine,src_behavior_model_01,2,2,2,0,0,False,foot,12,True,97.34,33.59,130.93,True,True,0.899
trp_00019,psg_0014,rte_jersey_stmalo,20251004,ctx_shopping,prd_sea_view_cabin,chn_website,src_behavior_model_01,1,2,2,0,0,False,foot,4,True,185.01,51.03,236.04,True,False,0.807
trp_00020,psg_0014,rte_dunkirk_dover,20250622,ctx_transport,prd_vehicle_crossing_basic,chn_search_engine,src_behavior_model_01,2,3,3,0,0,False,foot,5,True,156.18,31.92,188.1,True,True,0.833
trp_00021,psg_0015,rte_dieppe_newhaven,20250329,ctx_mini_cruise,prd_mini_cruise_package,chn_website,src_behavior_model_01,1,3,1,1,1,False,foot,19,True,275.44,73.75,349.19,True,False,0.827
trp_00022,psg_0015,rte_dunkirk_dover,20260616,ctx_shopping,prd_flexible_combi_ticket,chn_mobile_app,src_behavior_model_01,2,2,2,0,0,False,foot,17,False,120.89,37.45,158.34,True,True,0.863
trp_00023,psg_0016,rte_dieppe_newhaven,20240828,ctx_mini_cruise,prd_basic_seat,chn_mobile_app,src_behavior_model_01,1,1,1,0,0,True,bicycle,21,False,56.4,25.84,82.24,True,False,0.839
trp_00024,psg_0016,rte_dieppe_newhaven,20240802,ctx_shopping,prd_standard_inside_cabin,chn_social_media,src_behavior_model_01,2,1,1,0,0,False,foot,27,True,69.26,46.93,116.19,True,True,0.9
trp_00025,psg_0017,rte_amsterdam_newcastle,20261014,ctx_shopping,prd_standard_inside_cabin,chn_mobile_app,src_behavior_model_01,1,2,2,0,0,False,foot,23,True,378.96,51.94,430.9,True,False,0.833
trp_00026,psg_0018,rte_karlshamn_klaipeda,20261216,ctx_shopping,prd_standard_inside_cabin,chn_website,src_behavior_model_01,1,5,1,4,0,False,foot,43,True,1106.05,89.5,1195.55,True,False,0.866
trp_00027,psg_0018,rte_rosslare_dunkirk,20250601,ctx_family_holiday,prd_family_cabin_package,chn_mobile_app,src_behavior_model_01,2,3,2,1,0,True,van,58,True,583.4,66.82,650.22,True,True,0.837
trp_00028,psg_0019,rte_rosslare_dunkirk,20261107,ctx_visiting_friends,prd_pet_friendly_travel,chn_returning_portal,src_behavior_model_01,1,4,3,1,0,False,foot,60,True,536.39,54.07,590.46,True,False,0.756
trp_00029,psg_0019,rte_amsterdam_newcastle,20250809,ctx_family_holiday,prd_vehicle_crossing_basic,chn_email_campaign,src_behavior_model_01,2,4,4,0,0,True,van,25,True,790.48,63.35,853.83,True,True,0.823
trp_00030,psg_0019,rte_calais_dover,20260413,ctx_visiting_friends,prd_flexible_combi_ticket,chn_website,src_behavior_model_01,3,2,2,0,0,True,camper,25,False,215.1,63.36,278.46,True,True,0.85
trp_00031,psg_0020,rte_dunkirk_dover,20240605,ctx_visiting_friends,prd_standard_inside_cabin,chn_call_center,src_behavior_model_01,1,3,2,1,0,True,bicycle,42,True,219.99,61.4,281.39,True,False,0.87
trp_00032,psg_0020,rte_dunkirk_dover,20240414,ctx_visiting_friends,prd_vehicle_crossing_basic,chn_website,src_behavior_model_01,2,3,2,1,0,True,car,57,True,213.93,43.86,257.79,True,True,0.821
trp_00033,psg_0020,rte_dieppe_newhaven,20250303,ctx_visiting_friends,prd_pet_friendly_travel,chn_search_engine,src_behavior_model_01,3,2,2,0,0,True,car,33,True,170.51,58.28,228.79,True,True,0.874
trp_00034,psg_0021,rte_jersey_stmalo,20250825,ctx_visiting_friends,prd_commodore_cabin,chn_email_campaign,src_behavior_model_01,1,3,3,0,0,False,foot,66,True,331.03,54.92,385.95,True,False,0.734
trp_00035,psg_0021,rte_dieppe_newhaven,20261017,ctx_weekend_getaway,prd_vehicle_crossing_basic,chn_website,src_behavior_model_01,2,2,2,0,0,False,foot,22,True,125.68,50.93,176.61,True,True,0.87
trp_00036,psg_0022,rte_jersey_poole,20250811,ctx_shopping,prd_flexible_combi_ticket,chn_travel_agency,src_behavior_model_01,1,4,2,2,0,False,foot,45,False,388.72,62.51,451.23,True,False,0.824
trp_00037,psg_0023,rte_amsterdam_newcastle,20260624,ctx_event,prd_commodore_cabin,chn_returning_portal,src_behavior_model_01,1,1,1,0,0,True,car,94,True,230.27,81.63,311.9,True,False,0.894
trp_00038,psg_0023,rte_karlshamn_klaipeda,20251112,ctx_mini_cruise,prd_mini_cruise_package,chn_travel_agency,src_behavior_model_01,2,2,1,0,1,False,foot,62,True,582.88,103.3,686.18,True,True,0.797
trp_00039,psg_0024,rte_kapellskar_paldiski,20240305,ctx_weekend_getaway,prd_sea_view_cabin,chn_website,src_behavior_model_01,1,1,1,0,0,False,foot,94,True,241.69,83.01,324.7,True,False,0.795
trp_00040,psg_0024,rte_kiel_klaipeda,20261117,ctx_mini_cruise,prd_mini_cruise_package,chn_call_center,src_behavior_model_01,2,1,0,0,1,False,foot,68,True,311.48,92.6,404.08,True,True,0.812
trp_00041,psg_0024,rte_amsterdam_newcastle,20240807,ctx_mini_cruise,prd_vehicle_crossing_basic,chn_travel_agency,src_behavior_model_01,3,1,1,0,0,True,bicycle,35,True,161.0,81.21,242.21,True,True,0.921
trp_00042,psg_0025,rte_calais_dover,20250308,ctx_shopping,prd_standard_inside_cabin,chn_search_engine,src_behavior_model_01,1,2,2,0,0,False,foot,6,True,111.63,31.03,142.66,True,False,0.882
