response_id,synthetic_data_notice,raw_defect_type,age_band,gender,residence_region,party_composition,household_income_band,accessibility_needs,route_region,route_corridor,travel_type,direction,trip_purpose,vehicle,sailing_duration_band,accommodation,booking_channel,travel_frequency,completion_seconds,disruption_experienced,mot_price_value,mot_convenience,mot_car_access,mot_comfort_break,mot_scenery,mot_sustainability,mot_visiting_family,mot_business_flexibility,sat_booking,sat_terminal,sat_boarding,sat_cabin_seating,sat_food,sat_cleanliness,sat_staff,sat_wifi,sat_punctuality,sat_value,overall_satisfaction,nps_band,return_intent,recommend_intent,competitor_likelihood,service_recovery_evaluation,raw_response_id,raw_synthetic_data_notice,raw_raw_defect_type,raw_age_band,raw_gender,raw_residence_region,raw_party_composition,raw_household_income_band,raw_accessibility_needs,raw_route_region,raw_route_corridor,raw_travel_type,raw_direction,raw_trip_purpose,raw_vehicle,raw_sailing_duration_band,raw_accommodation,raw_booking_channel,raw_travel_frequency,raw_completion_seconds,raw_disruption_experienced,raw_mot_price_value,raw_mot_convenience,raw_mot_car_access,raw_mot_comfort_break,raw_mot_scenery,raw_mot_sustainability,raw_mot_visiting_family,raw_mot_business_flexibility,raw_sat_booking,raw_sat_terminal,raw_sat_boarding,raw_sat_cabin_seating,raw_sat_food,raw_sat_cleanliness,raw_sat_staff,raw_sat_wifi,raw_sat_punctuality,raw_sat_value,raw_overall_satisfaction,raw_nps_band,raw_return_intent,raw_recommend_intent,raw_competitor_likelihood,raw_service_recovery_evaluation,motivation_summary,satisfaction_summary,quality_flags,quality_status,rag_included
DFDS-00001,Synthetic simulated survey response - not real passenger data,speeding,55-64,Woman,United Kingdom,Family with children,Prefer not to say,Hearing or vision support,English Channel,Dover-Dunkirk,Car passenger,Return,Visiting friends/family,Car,Short (under 3 hours),Standard seat,Travel agent,First time,46,No,4,4,5,2,2,3,5,2,4,4,5,4,5,5,5,4,5,5,5,Promoter (9-10),5,5,1,Not applicable,DFDS-00001,Synthetic simulated survey response - not real passenger data,speeding,55-64,Woman,United Kingdom,Family with children,Prefer not to say,Hearing or vision support,English Channel,Dover-Dunkirk,Car passenger,Return,Visiting friends/family,Car,Short (under 3 hours),Standard seat,Travel agent,First time,46,No,4,4,5,2,2,3,5,2,4,4,5,4,5,5,5,4,5,5,5,Promoter (9-10),5,5,1,Not applicable,Vehicle access; Visiting family or friends,4.6,speeding,usable_with_caution,true
DFDS-00002,Synthetic simulated survey response - not real passenger data,straight_lining,25-34,Non-binary,France,Friends,Lower,None,English Channel,Dover-Calais,Foot passenger,Return,Visiting friends/family,None,Short (under 3 hours),Not applicable,DFDS website,2-3 times a year,795,Yes,5,5,3,4,2,3,5,3,4,4,4,4,4,4,4,4,4,4,4,Promoter (9-10),4,3,3,4,DFDS-00002,Synthetic simulated survey response - not real passenger data,straight_lining,25-34,Non-binary,France,Friends,Lower,None,English Channel,Dover-Calais,Foot passenger,Return,Visiting friends/family,None,Short (under 3 hours),Not applicable,DFDS website,2-3 times a year,795,Yes,5,5,3,4,2,3,5,3,4,4,4,4,4,4,4,4,4,4,4,Promoter (9-10),4,3,3,4,Price and value; Convenience; Visiting family or friends,4.0,straight_lining,usable_with_caution,true
DFDS-00003,Synthetic simulated survey response - not real passenger data,duplicate_pattern,25-34,Non-binary,France,Friends,Lower,None,English Channel,Dover-Calais,Foot passenger,Return,Visiting friends/family,None,Short (under 3 hours),Not applicable,DFDS website,2-3 times a year,795,Yes,5,5,3,4,2,3,5,3,4,4,4,4,4,4,4,4,4,4,4,Promoter (9-10),4,3,3,4,DFDS-00003,Synthetic simulated survey response - not real passenger data,duplicate_pattern,25-34,Non-binary,France,Friends,Lower,None,English Channel,Dover-Calais,Foot passenger,Return,Visiting friends/family,None,Short (under 3 hours),Not applicable,DFDS website,2-3 times a year,795,Yes,5,5,3,4,2,3,5,3,4,4,4,4,4,4,4,4,4,4,4,Promoter (9-10),4,3,3,4,Price and value; Convenience; Visiting family or friends,4.0,straight_lining;duplicate_pattern,exclude_from_analysis,false
DFDS-00004,Synthetic simulated survey response - not real passenger data,route_trip_conflict,45-54,Non-binary,Germany,Business colleagues,Lower,Hearing or vision support,English Channel,Dover-Calais,Freight driver,Return,Freight work,Van / freight vehicle,Long overnight (8+ hours),Private cabin,DFDS website,First time,706,No,3,3,5,4,3,3,1,4,3,4,4,5,4,3,4,3,5,3,5,Promoter (9-10),4,5,1,Not applicable,DFDS-00004,Synthetic simulated survey response - not real passenger data,route_trip_conflict,45-54,Non-binary,Germany,Business colleagues,Lower,Hearing or vision support,English Channel,Dover-Calais,Freight driver,Return,Freight work,Van / freight vehicle,Long overnight (8+ hours),Private cabin,DFDS website,First time,706,No,3,3,5,4,3,3,1,4,3,4,4,5,4,3,4,3,5,3,5,Promoter (9-10),4,5,1,Not applicable,Vehicle access,3.8,route_trip_conflict,exclude_from_analysis,false
DFDS-00005,Synthetic simulated survey response - not real passenger data,,25-34,Non-binary,France,Business colleagues,Upper-middle,None,English Channel,Dover-Calais,Freight driver,Outbound,Freight work,Van / freight vehicle,Short (under 3 hours),Not applicable,DFDS app,2-3 times a year,616,No,2,3,4,4,4,3,1,4,4,4,3,4,5,5,4,3,3,3,4,Promoter (9-10),5,5,1,Not applicable,DFDS-00005,Synthetic simulated survey response - not real passenger data,,25-34,Non-binary,France,Business colleagues,Upper-middle,None,English Channel,Dover-Calais,Freight driver,Outbound,Freight work,Van / freight vehicle,Short (under 3 hours),Not applicable,DFDS app,2-3 times a year,616,No,2,3,4,4,4,3,1,4,4,4,3,4,5,5,4,3,3,3,4,Promoter (9-10),5,5,1,Not applicable,No strong stated motivation,3.8,,usable,true
DFDS-00006,Synthetic simulated survey response - not real passenger data,,35-44,Prefer not to say,Germany,Business colleagues,Middle,Mobility assistance,North Sea,Harwich-Hook of Holland,Car passenger,Return,Business,Car,Overnight (6-8 hours),Reclining seat,Travel agent,Once a year,292,Yes,4,3,4,5,2,4,1,5,4,2,2,2,4,2,2,3,1,3,3,Passive (7-8),4,2,2,4,DFDS-00006,Synthetic simulated survey response - not real passenger data,,35-44,Prefer not to say,Germany,Business colleagues,Middle,Mobility assistance,North Sea,Harwich-Hook of Holland,Car passenger,Return,Business,Car,Overnight (6-8 hours),Reclining seat,Travel agent,Once a year,292,Yes,4,3,4,5,2,4,1,5,4,2,2,2,4,2,2,3,1,3,3,Passive (7-8),4,2,2,4,Comfort and a break from driving; Business flexibility,2.5,,usable,true
DFDS-00007,Synthetic simulated survey response - not real passenger data,,65+,Prefer not to say,France,Family with children,Upper-middle,Other assistance,English Channel,Newhaven-Dieppe,Car passenger,Return,Visiting friends/family,Car,Medium (3-6 hours),Reclining seat,Phone,First time,205,Yes,5,4,4,2,2,2,5,1,3,3,3,4,3,3,5,3,3,5,3,Passive (7-8),2,4,4,3,DFDS-00007,Synthetic simulated survey response - not real passenger data,,65+,Prefer not to say,France,Family with children,Upper-middle,Other assistance,English Channel,Newhaven-Dieppe,Car passenger,Return,Visiting friends/family,Car,Medium (3-6 hours),Reclining seat,Phone,First time,205,Yes,5,4,4,2,2,2,5,1,3,3,3,4,3,3,5,3,3,5,3,Passive (7-8),2,4,4,3,Price and value; Visiting family or friends,3.5,,usable,true
DFDS-00008,Synthetic simulated survey response - not real passenger data,,45-54,Man,Germany,Friends,Prefer not to say,None,Baltic,Kiel-Klaipeda,Motorcycle,Outbound,Holiday transit,Motorcycle,Long overnight (8+ hours),Premium cabin,DFDS app,Monthly or more,761,No,5,5,4,3,2,4,3,2,5,5,5,4,5,5,5,5,5,4,4,Promoter (9-10),4,3,2,Not applicable,DFDS-00008,Synthetic simulated survey response - not real passenger data,,45-54,Man,Germany,Friends,Prefer not to say,None,Baltic,Kiel-Klaipeda,Motorcycle,Outbound,Holiday transit,Motorcycle,Long overnight (8+ hours),Premium cabin,DFDS app,Monthly or more,761,No,5,5,4,3,2,4,3,2,5,5,5,4,5,5,5,5,5,4,4,Promoter (9-10),4,3,2,Not applicable,Price and value; Convenience,4.8,,usable,true
DFDS-00009,Synthetic simulated survey response - not real passenger data,,55-64,Non-binary,Netherlands,Business colleagues,Lower,None,English Channel,Newhaven-Dieppe,Car passenger,Return,Business,Car,Medium (3-6 hours),Standard seat,DFDS app,2-3 times a year,297,No,5,4,5,2,2,3,1,5,3,4,4,5,4,5,3,4,3,5,4,Promoter (9-10),4,4,1,Not applicable,DFDS-00009,Synthetic simulated survey response - not real passenger data,,55-64,Non-binary,Netherlands,Business colleagues,Lower,None,English Channel,Newhaven-Dieppe,Car passenger,Return,Business,Car,Medium (3-6 hours),Standard seat,DFDS app,2-3 times a year,297,No,5,4,5,2,2,3,1,5,3,4,4,5,4,5,3,4,3,5,4,Promoter (9-10),4,4,1,Not applicable,Price and value; Vehicle access; Business flexibility,4.0,,usable,true
DFDS-00010,Synthetic simulated survey response - not real passenger data,,45-54,Woman,France,Friends,Lower,None,English Channel,Dover-Dunkirk,Motorcycle,Outbound,Leisure,Motorcycle,Short (under 3 hours),Standard seat,Phone,Once a year,292,No,5,3,4,2,3,4,2,2,3,4,4,5,3,4,3,3,3,4,3,Passive (7-8),4,2,3,Not applicable,DFDS-00010,Synthetic simulated survey response - not real passenger data,,45-54,Woman,France,Friends,Lower,None,English Channel,Dover-Dunkirk,Motorcycle,Outbound,Leisure,Motorcycle,Short (under 3 hours),Standard seat,Phone,Once a year,292,No,5,3,4,2,3,4,2,2,3,4,4,5,3,4,3,3,3,4,3,Passive (7-8),4,2,3,Not applicable,Price and value,3.6,,usable,true
